rank_overall,rank_in_order,Common name,Order,Family,Abundance estimate,Scientific name,normalized_sci_name,species_code,sum_abundance_mean,first_abundance
36,27,Northern Mockingbird,Passeriformes,Mimidae (Mockingbirds and Thrashers),124869634,Mimus polyglottos,mimuspolyglottos,normoc,1.2591999999999999,0.4291
37,4,Iceland Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",115337179,Larus glaucoides,larusglaucoides,y00478,0.0048000000000000004,0
38,28,Black-capped Chickadee,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",112012778,Poecile atricapillus,poecileatricapillus,bkcchi,0.592,0.592
39,29,Cliff Swallow,Passeriformes,Hirundinidae (Swallows),109528763,Petrochelidon pyrrhonota,petrochelidonpyrrhonota,cliswa,2.8091,1.781
40,30,Brewer's Blackbird,Passeriformes,Icteridae (Troupials and Allies),109369835,Euphagus cyanocephalus,euphaguscyanocephalus,brebla,1.9916999999999998,0.3127
41,5,Franklin's Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",108014410,Leucophaeus pipixcan,leucophaeuspipixcan,fragul,0.9741,0.1553
42,31,Yellow Warbler,Passeriformes,Parulidae (New World Warblers),105938206,Setophaga petechia,setophagapetechia,yelwar,0.9617,0.4093
43,6,Red-necked Phalarope,Charadriiformes,Scolopacidae (Sandpipers and Allies),101526658,Phalaropus lobatus,phalaropuslobatus,renpha,0.1185,0.1185
44,32,Lincoln's Sparrow,Passeriformes,Passerellidae (New World Sparrows),101350659,Melospiza lincolnii,melospizalincolnii,linspa,0.48960000000000004,0.0809
45,2,Northern Pintail,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",98587756,Anas acuta,anasacuta,norpin,2.2798,0.1157
46,33,Snow Bunting,Passeriformes,Calcariidae (Longspurs and Snow Buntings),98146299,Plectrophenax nivalis,plectrophenaxnivalis,snobun,0.6371,0.0087
47,34,White-crowned Sparrow,Passeriformes,Passerellidae (New World Sparrows),98005211,Zonotrichia leucophrys,zonotrichialeucophrys,whcspa,2.9957000000000003,0.2765
48,35,Magnolia Warbler,Passeriformes,Parulidae (New World Warblers),93097116,Setophaga magnolia,setophagamagnolia,magwar,0.1338,0.0203
49,36,American Crow,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",91840173,Corvus brachyrhynchos,corvusbrachyrhynchos,amecro,5.0036000000000005,0.7083
50,3,Ring-necked Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",91130489,Aythya collaris,aythyacollaris,rinduc,0.6388,0.0174
51,37,Pine Siskin,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",90433461,Spinus pinus,spinuspinus,pinsis,1.8967,0.2749
52,38,White-eyed Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",90305148,Vireo griseus,vireogriseus,whevir,0.5659000000000001,0.2244
