rank_overall,rank_in_order,Common name,Order,Family,Abundance estimate,Scientific name,normalized_sci_name,species_code,sum_abundance_mean,first_abundance
177,41,Common Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",27073614,Sterna hirundo,sternahirundo,comter,0.1094,0.059
178,19,Egyptian Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",27045152,Alopochen aegyptiaca,alopochenaegyptiaca,egygoo,5e-4,5e-4
179,98,Black-and-white Warbler,Passeriformes,Parulidae (New World Warblers),27029336,Mniotilta varia,mniotiltavaria,bawwar,0.2253,0.0744
180,1,White-winged Parakeet,Psittaciformes,Psittacidae (New World and African Parrots),26862073,Brotogeris versicolurus,brotogerisversicolurus,whwpar,0,0
181,1,Magnificent Frigatebird,Suliformes,Fregatidae (Frigatebirds),26183427,Fregata magnificens,fregatamagnificens,magfri,0.0068000000000000005,0.0032
182,20,Common Goldeneye,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",26171669,Bucephala clangula,bucephalaclangula,comgol,0.35600000000000004,0.0063
183,7,White-faced Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),26169742,Plegadis chihi,plegadischihi,whfibi,0.8937999999999999,0.1998
184,42,Black Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",26164458,Chlidonias niger,chlidoniasniger,blkter,0.1451,0.0614
185,21,Lesser Scaup,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",25895447,Aythya affinis,aythyaaffinis,lessca,0.6242,0.0379
186,22,Surf Scoter,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",25643719,Melanitta perspicillata,melanittaperspicillata,sursco,0.3403,0.0272
187,99,Winter Wren,Passeriformes,Troglodytidae (Wrens),25583118,Troglodytes hiemalis,troglodyteshiemalis,winwre3,0.1263,0.0239
188,1,Broad-winged Hawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",25187241,Buteo platypterus,buteoplatypterus,brwhaw,0.1913,0.026
189,100,American Tree Sparrow,Passeriformes,Passerellidae (New World Sparrows),25128656,Spizelloides arborea,spizelloidesarborea,amtspa,1.3387000000000002,0.06
190,43,Purple Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),24702424,Calidris maritima,calidrismaritima,pursan,0.0019000000000000002,0.001
191,44,California Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24562637,Larus californicus,laruscalifornicus,calgul,0.49940000000000007,0.1035
192,23,Bufflehead,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",24445274,Bucephala albeola,bucephalaalbeola,buffle,0.32880000000000004,0.0123
193,45,Killdeer,Charadriiformes,Charadriidae (Plovers and Lapwings),24346920,Charadrius vociferus,charadriusvociferus,killde,2.1671,0.4652
194,46,Short-billed Dowitcher,Charadriiformes,Scolopacidae (Sandpipers and Allies),24007021,Limnodromus griseus,limnodromusgriseus,shbdow,0.051699999999999996,0.0029
195,101,Tree Swallow,Passeriformes,Hirundinidae (Swallows),24001900,Tachycineta bicolor,tachycinetabicolor,treswa,4.0208,0.557
196,47,Bar-tailed Godwit,Charadriiformes,Scolopacidae (Sandpipers and Allies),23949789,Limosa lapponica,limosalapponica,batgod,0.0106,0.0021
197,24,Greater Scaup,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",23833080,Aythya marila,aythyamarila,gresca,0.2821,0.0245
198,102,Northern Waterthrush,Passeriformes,Parulidae (New World Warblers),23764476,Parkesia noveboracensis,parkesianoveboracensis,norwat,0.1365,0.0368
199,2,Willow Ptarmigan,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",23709644,Lagopus lagopus,lagopuslagopus,wilpta,0.0262,0.0262
200,48,Least Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",23645395,Sternula antillarum,sternulaantillarum,leater1,0.059,0.0385
201,1,Red-throated Loon,Gaviiformes,Gaviidae (Loons),23610546,Gavia stellata,gaviastellata,retloo,0.0348,0.0068
202,25,Harlequin Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",23523101,Histrionicus histrionicus,histrionicushistrionicus,harduc,0.08990000000000001,0.0203
203,103,Brewer's Sparrow,Passeriformes,Passerellidae (New World Sparrows),23406889,Spizella breweri,spizellabreweri,brespa,0.4797,0.1305
204,104,Fox Sparrow,Passeriformes,Passerellidae (New World Sparrows),23325720,Passerella iliaca,passerellailiaca,foxspa,0.43389999999999995,0.1148
205,49,Long-billed Dowitcher,Charadriiformes,Scolopacidae (Sandpipers and Allies),23278849,Limnodromus scolopaceus,limnodromusscolopaceus,lobdow,0.4988,0.0085
206,2,Red-necked Grebe,Podicipediformes,Podicipedidae (Grebes),23110387,Podiceps grisegena,podicepsgrisegena,rengre,0.0189,0.0024
207,7,White-winged Dove,Columbiformes,Columbidae (Pigeons and Doves),22957592,Zenaida asiatica,zenaidaasiatica,whwdov,0.557,0.2738
208,105,Lark Sparrow,Passeriformes,Passerellidae (New World Sparrows),22828388,Chondestes grammacus,chondestesgrammacus,larspa,0.7661,0.3024
209,106,Fork-tailed Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),22726220,Tyrannus savana,tyrannussavana,fotfly,0,0
210,50,American Golden-Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),22515869,Pluvialis dominica,pluvialisdominica,amgplo,0.15200000000000002,0.0258
211,107,Pacific Wren,Passeriformes,Troglodytidae (Wrens),22044961,Troglodytes pacificus,troglodytespacificus,pacwre1,0.1183,0.0319
212,108,Lark Bunting,Passeriformes,Passerellidae (New World Sparrows),21653109,Calamospiza melanocorys,calamospizamelanocorys,larbun,0.6475,0.1396
213,26,Tundra Swan,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",21449052,Cygnus columbianus,cygnuscolumbianus,tunswa,0.7846,0.0295
214,51,Black-tailed Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",21342228,Larus crassirostris,laruscrassirostris,bktgul,0,0
215,1,Smooth-billed Ani,Cuculiformes,Cuculidae (Cuckoos),21133340,Crotophaga ani,crotophagaani,smbani,0,0
216,52,Spotted Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),21020647,Actitis macularius,actitismacularius,sposan,0.1572,0.0486
217,109,Cape May Warbler,Passeriformes,Parulidae (New World Warblers),20978178,Setophaga tigrina,setophagatigrina,camwar,0.0339,0.0019
218,3,Northern Flicker,Piciformes,Picidae (Woodpeckers),20923123,Colaptes auratus,colaptesauratus,norfli,1.8814,0.362
219,110,Western Bluebird,Passeriformes,Turdidae (Thrushes and Allies),20804834,Sialia mexicana,sialiamexicana,wesblu,0.4126,0.0469
220,2,Anna's Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),20616809,Calypte anna,calypteanna,annhum,0.09770000000000001,0.0262
221,53,Willet,Charadriiformes,Scolopacidae (Sandpipers and Allies),20158013,Tringa semipalmata,tringasemipalmata,willet1,0.1055,0.0373
222,8,American White Pelican,Pelecaniformes,Pelecanidae (Pelicans),19858493,Pelecanus erythrorhynchos,pelecanuserythrorhynchos,amwpel,0.554,0.1592
223,54,Elegant Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",19857996,Thalasseus elegans,thalasseuselegans,eleter1,0.009899999999999999,0.0036
224,111,Tufted Titmouse,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",19693129,Baeolophus bicolor,baeolophusbicolor,tuftit,0.6069,0.6069
225,112,White-breasted Nuthatch,Passeriformes,Sittidae (Nuthatches),19483729,Sitta carolinensis,sittacarolinensis,whbnut,0.4134,0.4134
226,113,Pacific-slope Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),19360637,Empidonax difficilis,empidonaxdifficilis,pasfly,0.08130000000000001,0.0396
227,114,Bobolink,Passeriformes,Icteridae (Troupials and Allies),19276086,Dolichonyx oryzivorus,dolichonyxoryzivorus,boboli,0.3254,0.1326
228,115,Bay-breasted Warbler,Passeriformes,Parulidae (New World Warblers),19149191,Setophaga castanea,setophagacastanea,babwar,0.035500000000000004,0.001
229,27,American Black Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",18953154,Anas rubripes,anasrubripes,ambduc,0.052,0.0019
230,116,Least Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),18815411,Empidonax minimus,empidonaxminimus,leafly,0.2162,0.0784
231,117,Dickcissel,Passeriformes,Cardinalidae (Cardinals and Allies),18807815,Spiza americana,spizaamericana,dickci,0.7376999999999999,0.4366
232,118,Chestnut-backed Chickadee,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",18747101,Poecile rufescens,poecilerufescens,chbchi,0.0776,0.0776
233,55,Stilt Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),18671433,Calidris himantopus,calidrishimantopus,stisan,0.0935,0.0019
234,28,Fulvous Whistling-Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",18662480,Dendrocygna bicolor,dendrocygnabicolor,fuwduc,0.0171,0.0076
235,56,Forster's Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",18651351,Sterna forsteri,sternaforsteri,forter,0.1003,0.0174
236,1,American Kestrel,Falconiformes,Falconidae (Falcons and Caracaras),18475897,Falco sparverius,falcosparverius,amekes,0.6492,0.1319
237,119,California Towhee,Passeriformes,Passerellidae (New World Sparrows),18366883,Melozone crissalis,melozonecrissalis,caltow,0.0229,0.0229
238,120,Black-billed Magpie,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",18362730,Pica hudsonia,picahudsonia,bkbmag1,0.264,0.264
239,29,White-cheeked Pintail,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",18339500,Anas bahamensis,anasbahamensis,whcpin,0,0
240,121,Wood Thrush,Passeriformes,Turdidae (Thrushes and Allies),18063546,Hylocichla mustelina,hylocichlamustelina,woothr,0.2077,0.1016
241,9,White Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),18024425,Eudocimus albus,eudocimusalbus,whiibi,0.8965,0.1941
242,122,Western Tanager,Passeriformes,Cardinalidae (Cardinals and Allies),17394286,Piranga ludoviciana,pirangaludoviciana,westan,0.3436,0.1316
243,3,Sandhill Crane,Gruiformes,Gruidae (Cranes),17295706,Antigone canadensis,antigonecanadensis,sancra,7.337899999999999,0.094
244,123,Bohemian Waxwing,Passeriformes,Bombycillidae (Waxwings),17293522,Bombycilla garrulus,bombycillagarrulus,bohwax,0.0998,0.0214
245,3,Chimney Swift,Caprimulgiformes,Apodidae (Swifts),17068138,Chaetura pelagica,chaeturapelagica,chiswi,0.4506,0.1691
246,3,Pied-billed Grebe,Podicipediformes,Podicipedidae (Grebes),17024025,Podilymbus podiceps,podilymbuspodiceps,pibgre,0.1701,0.0282
247,124,Rusty Blackbird,Passeriformes,Icteridae (Troupials and Allies),16988871,Euphagus carolinus,euphaguscarolinus,rusbla,0.3536,0.0114
248,30,King Eider,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",16955652,Somateria spectabilis,somateriaspectabilis,kineid,0.0336,0.0268
249,57,American Avocet,Charadriiformes,Recurvirostridae (Stilts and Avocets),16929127,Recurvirostra americana,recurvirostraamericana,ameavo,0.5922,0.1367
250,58,Wilson's Snipe,Charadriiformes,Scolopacidae (Sandpipers and Allies),16917243,Gallinago delicata,gallinagodelicata,wilsni1,0.3568,0.1108
251,4,Hairy Woodpecker,Piciformes,Picidae (Woodpeckers),16835765,Dryobates villosus,dryobatesvillosus,haiwoo,0.2664,0.2664
252,125,Hammond's Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),16721360,Empidonax hammondii,empidonaxhammondii,hamfly,0.0615,0.0243
253,4,Gray-headed Swamphen,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",16623997,Porphyrio poliocephalus,porphyriopoliocephalus,purswa3,1e-4,1e-4
254,4,Rufous Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),16372838,Selasphorus rufus,selasphorusrufus,rufhum,0.048100000000000004,0.0166
255,59,Roseate Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",16333336,Sterna dougallii,sternadougallii,roster,0.004,0.0034
256,60,American Oystercatcher,Charadriiformes,Haematopodidae (Oystercatchers),16247615,Haematopus palliatus,haematopuspalliatus,ameoys,0.009899999999999999,0.0027
257,31,Common Eider,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",16192884,Somateria mollissima,somateriamollissima,comeid,0.14780000000000001,0.0227
258,126,Loggerhead Shrike,Passeriformes,Laniidae (Shrikes),15767135,Lanius ludovicianus,laniusludovicianus,logshr,0.2755,0.0617
259,127,Baltimore Oriole,Passeriformes,Icteridae (Troupials and Allies),15707138,Icterus galbula,icterusgalbula,balori,0.3544,0.144
260,1,Short-eared Owl,Strigiformes,Strigidae (Owls),15555269,Asio flammeus,asioflammeus,sheowl,0.0538,0.0264
261,128,Palm Warbler,Passeriformes,Parulidae (New World Warblers),15414693,Setophaga palmarum,setophagapalmarum,palwar,0.2407,0.0024
262,5,Yellow-bellied Sapsucker,Piciformes,Picidae (Woodpeckers),15246450,Sphyrapicus varius,sphyrapicusvarius,yebsap,0.26689999999999997,0.0417
263,129,Eastern Yellow Wagtail,Passeriformes,Motacillidae (Wagtails and Pipits),15176416,Motacilla tschutschensis,motacillatschutschensis,eaywag,0.0142,0.0059
264,130,Canada Jay,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",15030323,Perisoreus canadensis,perisoreuscanadensis,gryjay,0.1055,0.1055
265,10,Little Blue Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",14995541,Egretta caerulea,egrettacaerulea,libher,0.2885,0.1442
266,131,Lesser Goldfinch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",14913455,Spinus psaltria,spinuspsaltria,lesgol,0.4183,0.1363
267,32,Brant,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",14746507,Branta bernicla,brantabernicla,brant,0.7262,0.0181
268,132,Grasshopper Sparrow,Passeriformes,Passerellidae (New World Sparrows),14314999,Ammodramus savannarum,ammodramussavannarum,graspa,0.3312,0.2107
269,2,Yellow-chevroned Parakeet,Psittaciformes,Psittacidae (New World and African Parrots),14187216,Brotogeris chiriri,brotogerischiriri,yecpar,1e-4,1e-4
270,133,Black-throated Blue Warbler,Passeriformes,Parulidae (New World Warblers),14170498,Setophaga caerulescens,setophagacaerulescens,btbwar,0.0686,0.0205
271,134,Brown-crested Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),14030509,Myiarchus tyrannulus,myiarchustyrannulus,bncfly,0.027,0.0218
272,4,Horned Grebe,Podicipediformes,Podicipedidae (Grebes),13922298,Podiceps auritus,podicepsauritus,horgre,0.0453,0.005
273,33,Cinnamon Teal,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",13845819,Spatula cyanoptera,spatulacyanoptera,cintea,0.1048,0.0272
274,135,Purple Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",13761021,Haemorhous purpureus,haemorhouspurpureus,purfin,0.2476,0.0414
275,136,Yellow-breasted Chat,Passeriformes,Icteriidae (Yellow-breasted Chat),13725545,Icteria virens,icteriavirens,yebcha,0.2803,0.1708
276,137,Black-throated Gray Warbler,Passeriformes,Parulidae (New World Warblers),13638892,Setophaga nigrescens,setophaganigrescens,btywar,0.0715,0.0214
277,1,Wood Stork,Ciconiiformes,Ciconiidae (Storks),13602379,Mycteria americana,mycteriaamericana,woosto,0.1225,0.0633
278,61,Western Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",13577953,Larus occidentalis,larusoccidentalis,wesgul,0.0311,0.0311
279,138,LeConte's Sparrow,Passeriformes,Passerellidae (New World Sparrows),13492916,Ammospiza leconteii,ammospizaleconteii,lecspa,0.0271,0.0037
280,34,White-winged Scoter,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",13265427,Melanitta deglandi,melanittadeglandi,whwsco2,0.10930000000000001,0.016
281,2,Great Horned Owl,Strigiformes,Strigidae (Owls),13153941,Bubo virginianus,bubovirginianus,grhowl,0.2786,0.2786
282,139,Gray-crowned Rosy-Finch,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",13060801,Leucosticte tephrocotis,leucostictetephrocotis,gcrfin,0.2177,0.011
283,11,Great Blue Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",13029336,Ardea herodias,ardeaherodias,grbher3,0.66,0.2126
284,2,Yellow-billed Cuckoo,Cuculiformes,Cuculidae (Cuckoos),13010576,Coccyzus americanus,coccyzusamericanus,yebcuc,0.3597,0.1987
285,5,Allen's Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),12995161,Selasphorus sasin,selasphorussasin,allhum,0.0073,0.0025
286,140,Ash-throated Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),12965225,Myiarchus cinerascens,myiarchuscinerascens,astfly,0.25460000000000005,0.1502
287,141,Bell's Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",12899336,Vireo bellii,vireobellii,belvir,0.13419999999999999,0.0704
288,142,Mourning Warbler,Passeriformes,Parulidae (New World Warblers),12895807,Geothlypis philadelphia,geothlypisphiladelphia,mouwar,0.0279,0.0142
289,35,Wood Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",12889322,Aix sponsa,aixsponsa,wooduc,0.8584,0.2505
290,2,Great Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),12865671,Phalacrocorax carbo,phalacrocoraxcarbo,grecor,0.0019,0
291,143,Hooded Warbler,Passeriformes,Parulidae (New World Warblers),12810138,Setophaga citrina,setophagacitrina,hoowar,0.1567,0.0657
292,144,Canyon Towhee,Passeriformes,Passerellidae (New World Sparrows),12723270,Melozone fusca,melozonefusca,cantow,0.0227,0.0227
293,8,White-tipped Dove,Columbiformes,Columbidae (Pigeons and Doves),12545160,Leptotila verreauxi,leptotilaverreauxi,whtdov,8e-4,8e-4
294,145,Yellow-headed Blackbird,Passeriformes,Icteridae (Troupials and Allies),12529921,Xanthocephalus xanthocephalus,xanthocephalusxanthocephalus,yehbla,0.8073,0.2636
295,12,Tricolored Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",12365120,Egretta tricolor,egrettatricolor,triher,0.059399999999999994,0.0173
296,3,Monk Parakeet,Psittaciformes,Psittacidae (New World and African Parrots),12328613,Myiopsitta monachus,myiopsittamonachus,monpar,5e-4,5e-4
297,146,Blue-headed Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",11956970,Vireo solitarius,vireosolitarius,buhvir,0.1587,0.0369
298,147,Chestnut-sided Warbler,Passeriformes,Parulidae (New World Warblers),11930052,Setophaga pensylvanica,setophagapensylvanica,chswar,0.15009999999999998,0.0524
299,62,Marbled Godwit,Charadriiformes,Scolopacidae (Sandpipers and Allies),11826071,Limosa fedoa,limosafedoa,margod,0.09670000000000001,0.0226
300,3,Burrowing Owl,Strigiformes,Strigidae (Owls),11573159,Athene cunicularia,athenecunicularia,burowl,0.044700000000000004,0.025
301,148,Painted Bunting,Passeriformes,Cardinalidae (Cardinals and Allies),11402956,Passerina ciris,passerinaciris,paibun,0.23660000000000003,0.132
302,149,Brown Creeper,Passeriformes,Certhiidae (Treecreepers),11257984,Certhia americana,certhiaamericana,brncre,0.2954,0.0516
303,36,Redhead,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",11248762,Aythya americana,aythyaamericana,redhea,0.4415,0.0522
304,2,Pacific Loon,Gaviiformes,Gaviidae (Loons),11177564,Gavia pacifica,gaviapacifica,pacloo,0.07469999999999999,0.0168
305,150,Black-throated Green Warbler,Passeriformes,Parulidae (New World Warblers),11172466,Setophaga virens,setophagavirens,btnwar,0.1649,0.0528
306,151,Vermilion Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),11030138,Pyrocephalus rubinus,pyrocephalusrubinus,verfly,0.0461,0.0158
307,13,Yellow-crowned Night-Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",10835872,Nyctanassa violacea,nyctanassaviolacea,ycnher,0.015,0.0065
308,152,Eastern Wood-Pewee,Passeriformes,Tyrannidae (Tyrant Flycatchers),10790876,Contopus virens,contopusvirens,eawpew,0.4603,0.2397
309,153,Tropical Parula,Passeriformes,Parulidae (New World Warblers),10766958,Setophaga pitiayumi,setophagapitiayumi,tropar,0,0
310,5,Western Grebe,Podicipediformes,Podicipedidae (Grebes),10756924,Aechmophorus occidentalis,aechmophorusoccidentalis,wesgre,0.0891,0.0187
311,14,Green Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",10703433,Butorides virescens,butoridesvirescens,grnher,0.1224,0.0696
312,63,Sandwich Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",10598655,Thalasseus sandvicensis,thalasseussandvicensis,santer1,0.1887,0.1553
313,154,Say's Phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),10437251,Sayornis saya,sayornissaya,saypho,0.2112,0.0667
314,155,Great Crested Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),10434403,Myiarchus crinitus,myiarchuscrinitus,grcfly,0.4155,0.1936
315,6,Chuck-will's-widow,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),10273267,Antrostomus carolinensis,antrostomuscarolinensis,chwwid,0.07469999999999999,0.0452
316,3,California Quail,Galliformes,Odontophoridae (New World Quail),10265045,Callipepla californica,callipeplacalifornica,calqua,0.1538,0.1538
317,156,Chestnut-collared Longspur,Passeriformes,Calcariidae (Longspurs and Snow Buntings),10245424,Calcarius ornatus,calcariusornatus,chclon,0.18639999999999998,0.0447
318,15,Roseate Spoonbill,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),10206632,Platalea ajaja,plataleaajaja,rosspo1,0.044199999999999996,0.0106
319,4,Chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",10163105,Alectoris chukar,alectorischukar,chukar,0.0218,0.0218
320,157,Field Sparrow,Passeriformes,Passerellidae (New World Sparrows),10150321,Spizella pusilla,spizellapusilla,fiespa,0.7911,0.1931
321,158,Black-whiskered Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",10119515,Vireo altiloquus,vireoaltiloquus,bkwvir,0,0
322,159,Mountain Bluebird,Passeriformes,Turdidae (Thrushes and Allies),9923770,Sialia currucoides,sialiacurrucoides,moublu,0.5398000000000001,0.091
323,160,Smith's Longspur,Passeriformes,Calcariidae (Longspurs and Snow Buntings),9718787,Calcarius pictus,calcariuspictus,smilon,0.0208,0.0042
324,3,Common Loon,Gaviiformes,Gaviidae (Loons),9682105,Gavia immer,gaviaimmer,comloo,0.08689999999999999,0.0201
325,7,Black-chinned Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),9677074,Archilochus alexandri,archilochusalexandri,bkchum,0.0937,0.0497
326,2,Snail Kite,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",9587542,Rostrhamus sociabilis,rostrhamussociabilis,snakit,5e-4,5e-4
327,37,Northern Shoveler,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",9531900,Spatula clypeata,spatulaclypeata,norsho,2.2774,0.1029
328,64,Solitary Sandpiper,Charadriiformes,Scolopacidae (Sandpipers and Allies),9530039,Tringa solitaria,tringasolitaria,solsan,0.0442,0.0057
329,65,Little Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",9487046,Hydrocoloeus minutus,hydrocoloeusminutus,litgul,0,0
330,8,Broad-tailed Hummingbird,Caprimulgiformes,Trochilidae (Hummingbirds),9430251,Selasphorus platycercus,selasphorusplatycercus,brthum,0.0929,0.0515
331,161,MacGillivray's Warbler,Passeriformes,Parulidae (New World Warblers),9399663,Geothlypis tolmiei,geothlypistolmiei,macwar,0.1593,0.0608
332,38,Hooded Merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",9366774,Lophodytes cucullatus,lophodytescucullatus,hoomer,0.1277,0.0117
333,66,Wandering Tattler,Charadriiformes,Scolopacidae (Sandpipers and Allies),9319152,Tringa incana,tringaincana,wantat1,0.006799999999999999,0.0024
334,162,Black-headed Grosbeak,Passeriformes,Cardinalidae (Cardinals and Allies),9239592,Pheucticus melanocephalus,pheucticusmelanocephalus,bkhgro,0.2177,0.0978
335,6,Golden-fronted Woodpecker,Piciformes,Picidae (Woodpeckers),9142977,Melanerpes aurifrons,melanerpesaurifrons,gofwoo,0.0265,0.0265
336,3,Bald Eagle,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",9140160,Haliaeetus leucocephalus,haliaeetusleucocephalus,baleag,0.4637,0.0616
337,4,Arctic Loon,Gaviiformes,Gaviidae (Loons),9131447,Gavia arctica,gaviaarctica,arcloo,2e-4,0
338,163,Yellow-throated Warbler,Passeriformes,Parulidae (New World Warblers),9080062,Setophaga dominica,setophagadominica,yetwar,0.10020000000000001,0.046
339,67,Snowy Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),8980225,Charadrius nivosus,charadriusnivosus,snoplo5,0.0069,0.0025
340,2,Peregrine Falcon,Falconiformes,Falconidae (Falcons and Caracaras),8922996,Falco peregrinus,falcoperegrinus,perfal,0.0182,0.0057
341,164,Northern Wheatear,Passeriformes,Muscicapidae (Old World Flycatchers),8903286,Oenanthe oenanthe,oenantheoenanthe,norwhe,0.0426,0.0111
342,165,Philadelphia Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",8821159,Vireo philadelphicus,vireophiladelphicus,phivir,0.0168,4e-4
343,9,Common Nighthawk,Caprimulgiformes,Caprimulgidae (Nightjars and Allies),8819444,Chordeiles minor,chordeilesminor,comnig,0.8119000000000001,0.3597
344,166,Brown Thrasher,Passeriformes,Mimidae (Mockingbirds and Thrashers),8680861,Toxostoma rufum,toxostomarufum,brnthr,0.5148,0.1579
345,39,Canvasback,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",8652710,Aythya valisineria,aythyavalisineria,canvas,0.2619,0.0175
346,68,Wilson's Plover,Charadriiformes,Charadriidae (Plovers and Lapwings),8360045,Charadrius wilsonia,charadriuswilsonia,wilplo,0.0043,0.0023
347,4,Nanday Parakeet,Psittaciformes,Psittacidae (New World and African Parrots),8242028,Aratinga nenday,aratinganenday,bkhpar,3e-4,3e-4
348,4,Red-tailed Hawk,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",8074880,Buteo jamaicensis,buteojamaicensis,rethaw,1.5722999999999998,0.3262
349,167,Bronzed Cowbird,Passeriformes,Icteridae (Troupials and Allies),8054538,Molothrus aeneus,molothrusaeneus,brocow,0.0336,0.0336
350,168,Yellow-throated Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",8014188,Vireo flavifrons,vireoflavifrons,yetvir,0.15489999999999998,0.0629
351,40,Barrow's Goldeneye,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",7982692,Bucephala islandica,bucephalaislandica,bargol,0.0525,0.0069
352,3,Southern Caracara,Falconiformes,Falconidae (Falcons and Caracaras),7964178,Caracara plancus,caracaraplancus,y00678,0.0271,0.0271
353,169,Veery,Passeriformes,Turdidae (Thrushes and Allies),7843152,Catharus fuscescens,catharusfuscescens,veery,0.11860000000000001,0.0621
354,170,Dusky-capped Flycatcher,Passeriformes,Tyrannidae (Tyrant Flycatchers),7621431,Myiarchus tuberculifer,myiarchustuberculifer,ducfly,0.0026999999999999997,0.0017
