common_name,order,family,abundance_estimate_pnas,scientific_name,normalized_sci_name,species_code,abundance_estimate_ebird,rank_overall,rank_in_order,rank_in_family,not_in_usa,top_5_in_order,top_100_birds
Common Redpoll,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",255561375,Acanthis flammea,acanthisflammea,comred,1.6970999999999998,19,16,1,FALSE,FALSE,TRUE
Mourning Dove,Columbiformes,Columbidae (Pigeons and Doves),239547974,Zenaida macroura,zenaidamacroura,moudov,6.4628000000000005,20,2,2,FALSE,TRUE,TRUE
White-throated Sparrow,Passeriformes,Passerellidae (New World Sparrows),217096172,Zonotrichia albicollis,zonotrichiaalbicollis,whtspa,1.6637,21,17,4,FALSE,FALSE,TRUE
Song Sparrow,Passeriformes,Passerellidae (New World Sparrows),214266112,Melospiza melodia,melospizamelodia,sonspa,2.4348,22,18,5,FALSE,FALSE,TRUE
Western Meadowlark,Passeriformes,Icteridae (Troupials and Allies),214156433,Sturnella neglecta,sturnellaneglecta,wesmea,2.1932,23,19,2,FALSE,FALSE,TRUE
House Wren,Passeriformes,Troglodytidae (Wrens),207824996,Troglodytes aedon,troglodytesaedon,houwre,0.9129,24,20,1,FALSE,FALSE,TRUE
Northern Cardinal,Passeriformes,Cardinalidae (Cardinals and Allies),204034397,Cardinalis cardinalis,cardinaliscardinalis,norcar,1.4827,25,21,1,FALSE,FALSE,TRUE
Eurasian Collared-Dove,Columbiformes,Columbidae (Pigeons and Doves),203977979,Streptopelia decaocto,streptopeliadecaocto,eucdov,0.4111,26,3,3,FALSE,TRUE,TRUE
Common Grackle,Passeriformes,Icteridae (Troupials and Allies),187073093,Quiscalus quiscula,quiscalusquiscula,comgra,14.2627,27,22,3,FALSE,FALSE,TRUE
Brown-headed Cowbird,Passeriformes,Icteridae (Troupials and Allies),184678527,Molothrus ater,molothrusater,bnhcow,6.0407,28,23,4,FALSE,FALSE,TRUE
White-winged Crossbill,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",170978414,Loxia leucoptera,loxialeucoptera,whwcro,0.8599000000000001,29,24,2,FALSE,FALSE,TRUE
Mallard,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",167717060,Anas platyrhynchos,anasplatyrhynchos,mallar3,7.7996,30,1,1,FALSE,TRUE,TRUE
Cattle Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",166208709,Bubulcus ibis,bubulcusibis,categr,1.2764,31,1,1,FALSE,TRUE,TRUE
Arctic Tern,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",161798377,Sterna paradisaea,sternaparadisaea,arcter,0.0663,32,3,3,FALSE,TRUE,TRUE
Lapland Longspur,Passeriformes,Calcariidae (Longspurs and Snow Buntings),154820347,Calcarius lapponicus,calcariuslapponicus,laplon,2.2260999999999997,33,25,1,FALSE,FALSE,TRUE
Red-eyed Vireo,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",137406741,Vireo olivaceus,vireoolivaceus,reevir1,0.7861,34,26,1,FALSE,FALSE,TRUE
Ring-necked Pheasant,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",129527900,Phasianus colchicus,phasianuscolchicus,rinphe,0.2905,35,1,1,FALSE,TRUE,TRUE
Northern Mockingbird,Passeriformes,Mimidae (Mockingbirds and Thrashers),124869634,Mimus polyglottos,mimuspolyglottos,normoc,1.2591999999999999,36,27,1,FALSE,FALSE,TRUE
Iceland Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",115337179,Larus glaucoides,larusglaucoides,y00478,0.0048000000000000004,37,4,4,FALSE,TRUE,TRUE
Black-capped Chickadee,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",112012778,Poecile atricapillus,poecileatricapillus,bkcchi,0.592,38,28,1,FALSE,FALSE,TRUE
Cliff Swallow,Passeriformes,Hirundinidae (Swallows),109528763,Petrochelidon pyrrhonota,petrochelidonpyrrhonota,cliswa,2.8091,39,29,2,FALSE,FALSE,TRUE
Brewer's Blackbird,Passeriformes,Icteridae (Troupials and Allies),109369835,Euphagus cyanocephalus,euphaguscyanocephalus,brebla,1.9916999999999998,40,30,5,FALSE,FALSE,TRUE
Franklin's Gull,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",108014410,Leucophaeus pipixcan,leucophaeuspipixcan,fragul,0.9741,41,5,5,FALSE,TRUE,TRUE
Yellow Warbler,Passeriformes,Parulidae (New World Warblers),105938206,Setophaga petechia,setophagapetechia,yelwar,0.9617,42,31,2,FALSE,FALSE,TRUE
Red-necked Phalarope,Charadriiformes,Scolopacidae (Sandpipers and Allies),101526658,Phalaropus lobatus,phalaropuslobatus,renpha,0.1185,43,6,1,FALSE,FALSE,TRUE
Lincoln's Sparrow,Passeriformes,Passerellidae (New World Sparrows),101350659,Melospiza lincolnii,melospizalincolnii,linspa,0.48960000000000004,44,32,6,FALSE,FALSE,TRUE
